,WhPerMile,kWhRequested,milesRequested,minutesAvailable,modifiedAt,paymentRequired,requestedDeparture,userID
16,400,20.0,50,277,"Wed, 23 May 2018 20:05:16 GMT",True,"Thu, 24 May 2018 00:41:39 GMT",68
17,400,12.0,30,101,"Wed, 23 May 2018 20:07:20 GMT",True,"Wed, 23 May 2018 21:45:39 GMT",68
18,400,12.0,30,101,"Wed, 23 May 2018 20:24:27 GMT",True,"Wed, 23 May 2018 21:45:39 GMT",68
19,400,12.0,30,101,"Wed, 23 May 2018 20:30:43 GMT",True,"Wed, 23 May 2018 21:45:39 GMT",68
20,250,60.0,240,323,"Fri, 25 May 2018 09:38:18 GMT",True,"Fri, 25 May 2018 15:01:17 GMT",67
21,250,20.0,80,192,"Sat, 02 Jun 2018 19:05:09 GMT",True,"Sat, 02 Jun 2018 22:15:07 GMT",76
22,250,20.0,80,221,"Sat, 02 Jun 2018 20:27:40 GMT",True,"Sat, 02 Jun 2018 22:44:07 GMT",76
23,250,20.0,80,221,"Sat, 02 Jun 2018 20:27:40 GMT",True,"Sat, 02 Jun 2018 22:44:07 GMT",76
24,250,60.0,240,375,"Sun, 03 Jun 2018 00:55:25 GMT",True,"Sun, 03 Jun 2018 07:10:05 GMT",67
25,400,8.0,20,60,"Mon, 04 Jun 2018 22:53:51 GMT",True,"Mon, 04 Jun 2018 23:52:10 GMT",75
26,400,8.0,20,60,"Tue, 05 Jun 2018 03:55:52 GMT",True,"Mon, 04 Jun 2018 23:52:10 GMT",75
27,400,8.0,20,60,"Mon, 11 Jun 2018 15:19:51 GMT",True,"Mon, 11 Jun 2018 16:16:44 GMT",162
28,400,40.0,100,88,"Mon, 11 Jun 2018 15:45:51 GMT",True,"Mon, 11 Jun 2018 16:44:44 GMT",162
29,400,8.0,20,88,"Mon, 11 Jun 2018 15:50:46 GMT",True,"Mon, 11 Jun 2018 16:44:44 GMT",162
30,600,54.0,90,88,"Mon, 11 Jun 2018 15:51:07 GMT",True,"Mon, 11 Jun 2018 16:44:44 GMT",162
31,600,54.0,90,458,"Mon, 11 Jun 2018 16:12:44 GMT",True,"Mon, 11 Jun 2018 22:54:44 GMT",162
32,600,54.0,90,86,"Mon, 11 Jun 2018 16:13:00 GMT",True,"Mon, 11 Jun 2018 16:42:44 GMT",162
33,600,54.0,90,86,"Mon, 11 Jun 2018 16:13:55 GMT",True,"Mon, 11 Jun 2018 16:42:44 GMT",162
34,600,54.0,90,403,"Mon, 11 Jun 2018 16:15:07 GMT",True,"Mon, 11 Jun 2018 21:59:44 GMT",162
35,400,72.0,180,403,"Mon, 11 Jun 2018 19:46:24 GMT",True,"Mon, 11 Jun 2018 21:59:44 GMT",162
36,400,36.0,90,346,"Mon, 11 Jun 2018 22:01:23 GMT",True,"Mon, 11 Jun 2018 21:02:44 GMT",162
37,400,24.0,60,485,"Mon, 11 Jun 2018 22:01:53 GMT",True,"Mon, 11 Jun 2018 23:21:44 GMT",162
38,400,52.0,130,485,"Mon, 11 Jun 2018 22:02:19 GMT",True,"Mon, 11 Jun 2018 23:21:44 GMT",162
39,400,20.0,50,485,"Mon, 11 Jun 2018 22:03:11 GMT",True,"Mon, 11 Jun 2018 23:21:44 GMT",162
40,400,32.0,80,485,"Mon, 11 Jun 2018 22:03:49 GMT",True,"Mon, 11 Jun 2018 23:21:44 GMT",162
41,400,40.0,100,648,"Mon, 11 Jun 2018 23:34:10 GMT",True,"Tue, 12 Jun 2018 02:04:44 GMT",162
42,400,36.0,90,648,"Mon, 11 Jun 2018 23:34:45 GMT",True,"Tue, 12 Jun 2018 02:04:44 GMT",162
43,400,32.0,80,648,"Mon, 11 Jun 2018 23:35:06 GMT",True,"Tue, 12 Jun 2018 02:04:44 GMT",162
44,400,56.0,140,608,"Mon, 11 Jun 2018 23:39:03 GMT",True,"Tue, 12 Jun 2018 01:24:44 GMT",162
45,250,5.0,20,537,"Mon, 18 Jun 2018 14:33:17 GMT",True,"Mon, 18 Jun 2018 23:30:04 GMT",61
46,250,5.0,20,593,"Mon, 18 Jun 2018 14:33:33 GMT",True,"Tue, 19 Jun 2018 00:26:04 GMT",61
47,250,20.0,80,611,"Mon, 18 Jun 2018 14:52:23 GMT",True,"Tue, 19 Jun 2018 00:44:04 GMT",61
48,200,16.0,80,231,"Mon, 18 Jun 2018 15:26:05 GMT",True,"Mon, 18 Jun 2018 19:15:43 GMT",162
49,200,16.0,80,483,"Mon, 18 Jun 2018 19:17:23 GMT",True,"Mon, 18 Jun 2018 23:27:43 GMT",162
50,200,6.0,30,483,"Mon, 18 Jun 2018 19:17:48 GMT",True,"Mon, 18 Jun 2018 23:27:43 GMT",162
51,200,4.0,20,428,"Mon, 18 Jun 2018 19:18:09 GMT",True,"Mon, 18 Jun 2018 22:32:43 GMT",162
52,200,4.0,20,428,"Mon, 18 Jun 2018 19:18:22 GMT",True,"Mon, 18 Jun 2018 22:32:43 GMT",162
53,200,10.0,50,428,"Mon, 18 Jun 2018 19:18:35 GMT",True,"Mon, 18 Jun 2018 22:32:43 GMT",162
54,200,12.0,60,428,"Mon, 18 Jun 2018 19:18:55 GMT",True,"Mon, 18 Jun 2018 22:32:43 GMT",162
55,200,14.0,70,428,"Mon, 18 Jun 2018 20:49:21 GMT",True,"Mon, 18 Jun 2018 22:32:43 GMT",162
56,200,16.0,80,428,"Mon, 18 Jun 2018 21:51:48 GMT",True,"Mon, 18 Jun 2018 22:32:43 GMT",162
57,200,16.0,80,523,"Mon, 18 Jun 2018 22:54:01 GMT",True,"Tue, 19 Jun 2018 00:07:43 GMT",162
58,200,16.0,80,639,"Mon, 18 Jun 2018 22:54:34 GMT",True,"Tue, 19 Jun 2018 02:03:43 GMT",162
59,200,4.0,20,529,"Mon, 18 Jun 2018 22:54:56 GMT",True,"Tue, 19 Jun 2018 00:13:43 GMT",162
60,200,16.0,80,529,"Mon, 18 Jun 2018 22:55:06 GMT",True,"Tue, 19 Jun 2018 00:13:43 GMT",162
61,200,18.0,90,529,"Mon, 18 Jun 2018 23:39:55 GMT",True,"Tue, 19 Jun 2018 00:13:43 GMT",162
62,200,18.0,90,529,"Mon, 18 Jun 2018 23:40:28 GMT",True,"Tue, 19 Jun 2018 00:13:43 GMT",162
63,250,25.0,100,34,"Tue, 19 Jun 2018 14:31:10 GMT",True,"Tue, 19 Jun 2018 15:04:27 GMT",61
64,500,5.0,10,150,"Fri, 22 Jun 2018 20:12:18 GMT",True,"Fri, 22 Jun 2018 22:41:23 GMT",1
65,400,32.0,80,233,"Mon, 25 Jun 2018 15:16:22 GMT",True,"Mon, 25 Jun 2018 19:07:53 GMT",162
66,400,32.0,80,385,"Mon, 25 Jun 2018 18:28:42 GMT",True,"Mon, 25 Jun 2018 21:39:53 GMT",162
67,400,8.0,20,557,"Mon, 25 Jun 2018 21:53:58 GMT",True,"Tue, 26 Jun 2018 00:31:53 GMT",162
68,400,28.0,70,557,"Mon, 25 Jun 2018 21:54:19 GMT",True,"Tue, 26 Jun 2018 00:31:53 GMT",162
69,400,16.0,40,574,"Mon, 25 Jun 2018 21:56:54 GMT",True,"Tue, 26 Jun 2018 00:48:53 GMT",162
70,400,24.0,60,574,"Mon, 25 Jun 2018 21:57:05 GMT",True,"Tue, 26 Jun 2018 00:48:53 GMT",162
71,400,20.0,50,574,"Mon, 25 Jun 2018 21:57:24 GMT",True,"Tue, 26 Jun 2018 00:48:53 GMT",162
72,400,20.0,50,171,"Tue, 26 Jun 2018 15:50:51 GMT",True,"Tue, 26 Jun 2018 18:39:03 GMT",162
73,400,20.0,50,417,"Tue, 26 Jun 2018 18:23:44 GMT",True,"Tue, 26 Jun 2018 22:45:03 GMT",162
74,400,20.0,50,335,"Tue, 26 Jun 2018 18:25:20 GMT",True,"Tue, 26 Jun 2018 21:23:03 GMT",162
75,400,20.0,50,348,"Tue, 26 Jun 2018 18:44:37 GMT",True,"Tue, 26 Jun 2018 21:36:03 GMT",162
76,250,60.0,240,398,"Sat, 30 Jun 2018 08:29:02 GMT",True,"Sat, 30 Jun 2018 15:06:20 GMT",67
77,250,60.0,240,400,"Sat, 30 Jun 2018 08:31:07 GMT",True,"Sat, 30 Jun 2018 15:08:20 GMT",67
78,400,28.0,70,544,"Mon, 02 Jul 2018 13:53:09 GMT",True,"Mon, 02 Jul 2018 22:56:23 GMT",66
79,400,28.0,70,490,"Mon, 02 Jul 2018 18:18:04 GMT",True,"Mon, 02 Jul 2018 22:02:23 GMT",66
80,350,21.0,60,283,"Mon, 09 Jul 2018 20:08:50 GMT",True,"Tue, 10 Jul 2018 00:50:37 GMT",22
81,350,21.0,60,398,"Mon, 09 Jul 2018 22:16:25 GMT",True,"Tue, 10 Jul 2018 02:45:37 GMT",22
82,250,60.0,240,448,"Tue, 10 Jul 2018 05:05:28 GMT",True,"Tue, 10 Jul 2018 12:32:50 GMT",67
83,250,60.0,240,448,"Tue, 10 Jul 2018 05:05:45 GMT",True,"Tue, 10 Jul 2018 12:32:50 GMT",67
84,340,30.6,90,420,"Wed, 11 Jul 2018 15:11:43 GMT",True,"Wed, 11 Jul 2018 22:11:13 GMT",162
85,250,25.0,100,163,"Mon, 23 Jul 2018 22:31:17 GMT",True,"Tue, 24 Jul 2018 01:13:45 GMT",167
86,250,25.0,100,103,"Tue, 31 Jul 2018 23:56:59 GMT",True,"Wed, 01 Aug 2018 01:37:07 GMT",216
87,250,25.0,100,108,"Tue, 31 Jul 2018 23:57:48 GMT",True,"Wed, 01 Aug 2018 01:42:07 GMT",216
88,250,50.0,200,573,"Wed, 01 Aug 2018 16:28:26 GMT",True,"Thu, 02 Aug 2018 02:00:31 GMT",216
89,250,50.0,200,603,"Thu, 02 Aug 2018 00:27:12 GMT",True,"Thu, 02 Aug 2018 02:30:31 GMT",216
90,350,15.05,43,187,"Wed, 01 Aug 2018 21:24:57 GMT",True,"Thu, 02 Aug 2018 00:30:56 GMT",22
91,350,15.05,43,212,"Wed, 01 Aug 2018 22:30:23 GMT",True,"Thu, 02 Aug 2018 00:55:56 GMT",22
92,340,34.0,100,1,"Thu, 02 Aug 2018 15:37:31 GMT",True,"Thu, 02 Aug 2018 15:34:09 GMT",162
93,340,34.0,100,428,"Thu, 02 Aug 2018 15:38:01 GMT",True,"Thu, 02 Aug 2018 22:41:09 GMT",162
94,340,6.8,20,428,"Thu, 02 Aug 2018 15:38:06 GMT",True,"Thu, 02 Aug 2018 22:41:09 GMT",162
95,340,34.0,100,428,"Thu, 02 Aug 2018 15:38:31 GMT",True,"Thu, 02 Aug 2018 22:41:09 GMT",162
96,340,37.4,110,428,"Thu, 02 Aug 2018 15:39:48 GMT",True,"Thu, 02 Aug 2018 22:41:09 GMT",162
97,340,44.2,130,428,"Thu, 02 Aug 2018 15:39:57 GMT",True,"Thu, 02 Aug 2018 22:41:09 GMT",162
98,340,40.8,120,428,"Thu, 02 Aug 2018 16:05:47 GMT",True,"Thu, 02 Aug 2018 22:41:09 GMT",162
99,340,34.0,100,428,"Thu, 02 Aug 2018 20:28:01 GMT",True,"Thu, 02 Aug 2018 22:41:09 GMT",162
100,340,6.8,20,509,"Thu, 02 Aug 2018 21:25:27 GMT",True,"Fri, 03 Aug 2018 00:02:09 GMT",162
101,300,78.0,260,689,"Thu, 02 Aug 2018 19:07:58 GMT",True,"Fri, 03 Aug 2018 06:32:05 GMT",58
102,300,90.0,300,609,"Thu, 02 Aug 2018 22:50:18 GMT",True,"Fri, 03 Aug 2018 05:12:05 GMT",58
103,300,84.0,280,473,"Thu, 02 Aug 2018 22:51:57 GMT",True,"Fri, 03 Aug 2018 02:56:05 GMT",58
104,300,72.0,240,488,"Thu, 02 Aug 2018 22:52:45 GMT",True,"Fri, 03 Aug 2018 03:11:05 GMT",58
105,300,6.0,20,867,"Thu, 02 Aug 2018 22:52:57 GMT",True,"Fri, 03 Aug 2018 09:30:05 GMT",58
106,300,69.0,230,771,"Thu, 02 Aug 2018 22:53:12 GMT",True,"Fri, 03 Aug 2018 07:54:05 GMT",58
107,300,69.0,230,557,"Fri, 03 Aug 2018 02:47:16 GMT",True,"Fri, 03 Aug 2018 04:20:05 GMT",58
108,400,40.0,100,223,"Thu, 02 Aug 2018 23:21:29 GMT",True,"Fri, 03 Aug 2018 03:04:24 GMT",222
109,400,40.0,100,179,"Thu, 02 Aug 2018 23:23:31 GMT",True,"Fri, 03 Aug 2018 02:20:24 GMT",222
110,400,40.0,100,137,"Thu, 02 Aug 2018 23:28:37 GMT",True,"Fri, 03 Aug 2018 01:38:24 GMT",222
111,259,75.11,290,130,"Fri, 03 Aug 2018 21:30:32 GMT",True,"Fri, 03 Aug 2018 23:39:39 GMT",222
112,259,75.11,290,224,"Fri, 03 Aug 2018 21:43:29 GMT",True,"Sat, 04 Aug 2018 01:13:39 GMT",222
113,259,69.93,270,224,"Fri, 03 Aug 2018 21:44:20 GMT",True,"Sat, 04 Aug 2018 01:13:39 GMT",222
114,250,60.0,240,408,"Sat, 04 Aug 2018 07:09:00 GMT",True,"Sat, 04 Aug 2018 13:56:50 GMT",67
115,250,37.5,150,642,"Mon, 06 Aug 2018 16:38:56 GMT",True,"Tue, 07 Aug 2018 03:20:09 GMT",216
116,340,30.6,90,27,"Tue, 07 Aug 2018 17:07:49 GMT",True,"Tue, 07 Aug 2018 17:31:42 GMT",162
117,340,30.6,90,153,"Tue, 07 Aug 2018 17:09:50 GMT",True,"Tue, 07 Aug 2018 19:37:42 GMT",162
118,250,50.0,200,578,"Wed, 08 Aug 2018 16:57:06 GMT",True,"Thu, 09 Aug 2018 02:34:26 GMT",216
119,400,16.0,40,526,"Thu, 09 Aug 2018 13:46:23 GMT",True,"Thu, 09 Aug 2018 22:31:27 GMT",66
120,400,16.0,40,526,"Thu, 09 Aug 2018 13:46:24 GMT",True,"Thu, 09 Aug 2018 22:31:27 GMT",66
121,340,34.0,100,440,"Thu, 09 Aug 2018 15:10:08 GMT",True,"Thu, 09 Aug 2018 22:29:38 GMT",162
122,340,34.0,100,523,"Thu, 09 Aug 2018 22:37:40 GMT",True,"Thu, 09 Aug 2018 23:52:38 GMT",162
123,340,6.8,20,523,"Thu, 09 Aug 2018 22:38:32 GMT",True,"Thu, 09 Aug 2018 23:52:38 GMT",162
124,250,60.0,240,368,"Fri, 10 Aug 2018 11:10:37 GMT",True,"Fri, 10 Aug 2018 17:15:41 GMT",67
125,250,50.0,200,556,"Fri, 10 Aug 2018 17:26:31 GMT",True,"Sat, 11 Aug 2018 02:42:08 GMT",216
126,250,52.5,210,905,"Fri, 10 Aug 2018 23:16:01 GMT",True,"Sat, 11 Aug 2018 08:31:08 GMT",216
127,217,43.4,200,469,"Sat, 11 Aug 2018 16:14:08 GMT",True,"Sun, 12 Aug 2018 00:01:38 GMT",43
128,250,12.5,50,316,"Sun, 12 Aug 2018 16:42:22 GMT",True,"Sun, 12 Aug 2018 21:58:01 GMT",248
129,250,22.5,90,448,"Sun, 12 Aug 2018 17:09:26 GMT",True,"Mon, 13 Aug 2018 00:10:01 GMT",248
130,200,36.0,180,60,"Sun, 12 Aug 2018 20:13:38 GMT",True,"Sun, 12 Aug 2018 21:12:30 GMT",250
131,400,32.0,80,57,"Mon, 13 Aug 2018 15:09:44 GMT",True,"Mon, 13 Aug 2018 16:05:40 GMT",232
132,400,32.0,80,66,"Mon, 13 Aug 2018 15:18:14 GMT",True,"Mon, 13 Aug 2018 16:14:40 GMT",232
133,340,17.0,50,233,"Mon, 13 Aug 2018 15:12:56 GMT",True,"Mon, 13 Aug 2018 19:05:26 GMT",162
134,340,17.0,50,512,"Mon, 13 Aug 2018 19:05:14 GMT",True,"Mon, 13 Aug 2018 23:44:26 GMT",162
135,400,40.0,100,159,"Tue, 14 Aug 2018 22:33:52 GMT",True,"Wed, 15 Aug 2018 01:10:35 GMT",69
136,400,32.0,80,149,"Tue, 14 Aug 2018 23:57:39 GMT",True,"Wed, 15 Aug 2018 01:00:35 GMT",69
137,400,40.0,100,149,"Wed, 15 Aug 2018 00:36:27 GMT",True,"Wed, 15 Aug 2018 01:00:35 GMT",69
138,400,8.0,20,201,"Wed, 15 Aug 2018 00:38:18 GMT",True,"Wed, 15 Aug 2018 01:52:35 GMT",69
139,400,8.0,20,180,"Wed, 15 Aug 2018 00:38:34 GMT",True,"Wed, 15 Aug 2018 01:31:35 GMT",69
140,400,20.0,50,180,"Wed, 15 Aug 2018 00:38:54 GMT",True,"Wed, 15 Aug 2018 01:31:35 GMT",69
141,400,20.0,50,180,"Wed, 15 Aug 2018 00:39:11 GMT",True,"Wed, 15 Aug 2018 01:31:35 GMT",69
142,400,40.0,100,278,"Wed, 15 Aug 2018 00:40:00 GMT",True,"Wed, 15 Aug 2018 03:09:35 GMT",69
143,300,15.0,50,145,"Wed, 15 Aug 2018 00:28:26 GMT",True,"Wed, 15 Aug 2018 02:52:29 GMT",176
144,300,15.0,50,153,"Wed, 15 Aug 2018 02:30:57 GMT",True,"Wed, 15 Aug 2018 03:00:29 GMT",176
145,400,8.0,20,60,"Thu, 16 Aug 2018 14:40:15 GMT",True,"Thu, 16 Aug 2018 15:35:52 GMT",259
146,350,56.0,160,558,"Fri, 17 Aug 2018 15:21:14 GMT",True,"Sat, 18 Aug 2018 00:38:36 GMT",22
147,250,27.5,110,220,"Sat, 18 Aug 2018 00:38:41 GMT",True,"Sat, 18 Aug 2018 04:16:34 GMT",232
148,286,20.02,70,337,"Sat, 18 Aug 2018 08:38:03 GMT",True,"Sat, 18 Aug 2018 14:11:48 GMT",242
149,286,20.02,70,385,"Sun, 19 Aug 2018 00:06:31 GMT",True,"Sun, 19 Aug 2018 06:30:24 GMT",242
150,286,20.02,70,386,"Sun, 19 Aug 2018 00:06:51 GMT",True,"Sun, 19 Aug 2018 06:31:24 GMT",242
151,250,62.5,250,148,"Sun, 19 Aug 2018 01:20:28 GMT",True,"Sun, 19 Aug 2018 03:47:53 GMT",216
152,400,8.0,20,60,"Sun, 19 Aug 2018 15:21:48 GMT",True,"Sun, 19 Aug 2018 16:21:37 GMT",231
153,400,52.0,130,192,"Sun, 19 Aug 2018 15:22:09 GMT",True,"Sun, 19 Aug 2018 18:33:37 GMT",231
154,233,60.58,260,196,"Sun, 19 Aug 2018 15:49:53 GMT",True,"Sun, 19 Aug 2018 18:37:37 GMT",231
155,300,90.0,300,590,"Mon, 20 Aug 2018 00:11:50 GMT",True,"Mon, 20 Aug 2018 10:01:25 GMT",58
156,286,17.16,60,384,"Mon, 20 Aug 2018 04:44:57 GMT",True,"Mon, 20 Aug 2018 11:07:48 GMT",242
157,286,17.16,60,444,"Mon, 20 Aug 2018 04:45:11 GMT",True,"Mon, 20 Aug 2018 12:07:48 GMT",242
158,286,17.16,60,465,"Mon, 20 Aug 2018 04:45:36 GMT",True,"Mon, 20 Aug 2018 12:28:48 GMT",242
159,340,17.0,50,410,"Mon, 20 Aug 2018 15:06:10 GMT",True,"Mon, 20 Aug 2018 21:55:45 GMT",162
160,340,34.0,100,394,"Mon, 20 Aug 2018 15:06:46 GMT",True,"Mon, 20 Aug 2018 21:39:45 GMT",162
161,340,34.0,100,444,"Mon, 20 Aug 2018 21:07:39 GMT",True,"Mon, 20 Aug 2018 22:29:45 GMT",162
162,340,20.4,60,539,"Mon, 20 Aug 2018 22:28:34 GMT",True,"Tue, 21 Aug 2018 00:04:45 GMT",162
163,340,13.6,40,539,"Mon, 20 Aug 2018 22:29:13 GMT",True,"Tue, 21 Aug 2018 00:04:45 GMT",162
164,340,34.0,100,539,"Mon, 20 Aug 2018 22:29:23 GMT",True,"Tue, 21 Aug 2018 00:04:45 GMT",162
165,340,27.2,80,539,"Mon, 20 Aug 2018 22:29:52 GMT",True,"Tue, 21 Aug 2018 00:04:45 GMT",162
166,300,6.0,20,60,"Mon, 20 Aug 2018 19:56:37 GMT",True,"Mon, 20 Aug 2018 20:55:51 GMT",280
167,300,30.0,100,60,"Mon, 20 Aug 2018 19:57:01 GMT",True,"Mon, 20 Aug 2018 20:55:51 GMT",280
168,300,30.0,100,228,"Mon, 20 Aug 2018 19:57:46 GMT",True,"Mon, 20 Aug 2018 23:43:51 GMT",280
169,300,30.0,100,228,"Mon, 20 Aug 2018 19:58:04 GMT",True,"Mon, 20 Aug 2018 23:43:51 GMT",280
170,300,48.0,160,151,"Mon, 20 Aug 2018 20:00:19 GMT",True,"Mon, 20 Aug 2018 22:26:51 GMT",280
171,300,30.0,100,201,"Mon, 20 Aug 2018 20:08:14 GMT",True,"Mon, 20 Aug 2018 23:16:51 GMT",280
172,300,30.0,100,229,"Mon, 20 Aug 2018 20:28:15 GMT",True,"Mon, 20 Aug 2018 23:44:51 GMT",280
173,300,30.0,100,227,"Mon, 20 Aug 2018 20:30:06 GMT",True,"Mon, 20 Aug 2018 23:42:51 GMT",280
174,300,30.0,100,228,"Mon, 20 Aug 2018 20:31:00 GMT",True,"Mon, 20 Aug 2018 23:43:51 GMT",280
175,300,30.0,100,181,"Mon, 20 Aug 2018 20:34:39 GMT",True,"Mon, 20 Aug 2018 22:56:51 GMT",280
176,300,30.0,100,259,"Mon, 20 Aug 2018 20:37:31 GMT",True,"Tue, 21 Aug 2018 00:14:51 GMT",280
177,300,33.0,110,184,"Mon, 20 Aug 2018 20:37:45 GMT",True,"Mon, 20 Aug 2018 22:59:51 GMT",280
178,300,33.0,110,108,"Mon, 20 Aug 2018 20:38:00 GMT",True,"Mon, 20 Aug 2018 21:43:51 GMT",280
179,300,33.0,110,180,"Mon, 20 Aug 2018 20:38:10 GMT",True,"Mon, 20 Aug 2018 22:55:51 GMT",280
180,300,33.0,110,212,"Mon, 20 Aug 2018 20:45:50 GMT",True,"Mon, 20 Aug 2018 23:27:51 GMT",280
181,300,30.0,100,162,"Mon, 20 Aug 2018 21:23:17 GMT",True,"Mon, 20 Aug 2018 22:37:51 GMT",280
182,300,30.0,100,292,"Mon, 20 Aug 2018 21:42:27 GMT",True,"Tue, 21 Aug 2018 00:47:51 GMT",280
183,300,30.0,100,333,"Mon, 20 Aug 2018 21:42:59 GMT",True,"Tue, 21 Aug 2018 01:28:51 GMT",280
184,300,30.0,100,334,"Mon, 20 Aug 2018 21:45:59 GMT",True,"Tue, 21 Aug 2018 01:29:51 GMT",280
185,300,30.0,100,337,"Mon, 20 Aug 2018 22:00:13 GMT",True,"Tue, 21 Aug 2018 01:32:51 GMT",280
186,300,30.0,100,351,"Mon, 20 Aug 2018 22:12:19 GMT",True,"Tue, 21 Aug 2018 01:46:51 GMT",280
187,300,12.0,40,215,"Mon, 20 Aug 2018 22:55:53 GMT",True,"Mon, 20 Aug 2018 23:30:51 GMT",280
188,300,30.0,100,363,"Mon, 20 Aug 2018 23:17:08 GMT",True,"Tue, 21 Aug 2018 01:58:51 GMT",280
189,400,40.0,100,554,"Tue, 21 Aug 2018 05:27:02 GMT",True,"Tue, 21 Aug 2018 14:40:56 GMT",259
190,400,4.0,10,554,"Tue, 21 Aug 2018 05:28:05 GMT",True,"Tue, 21 Aug 2018 14:40:56 GMT",259
191,400,4.0,10,555,"Tue, 21 Aug 2018 05:28:12 GMT",True,"Tue, 21 Aug 2018 14:41:56 GMT",259
192,400,40.0,100,555,"Tue, 21 Aug 2018 05:28:22 GMT",True,"Tue, 21 Aug 2018 14:41:56 GMT",259
193,250,42.5,170,135,"Wed, 22 Aug 2018 00:17:02 GMT",True,"Wed, 22 Aug 2018 02:31:26 GMT",216
194,400,40.0,100,198,"Wed, 22 Aug 2018 03:15:18 GMT",True,"Wed, 22 Aug 2018 06:30:59 GMT",259
195,286,17.16,60,464,"Wed, 22 Aug 2018 04:27:18 GMT",True,"Wed, 22 Aug 2018 12:11:16 GMT",242
196,286,17.16,60,464,"Wed, 22 Aug 2018 04:27:37 GMT",True,"Wed, 22 Aug 2018 12:11:16 GMT",242
197,286,17.16,60,464,"Wed, 22 Aug 2018 04:27:53 GMT",True,"Wed, 22 Aug 2018 12:11:16 GMT",242
198,340,6.8,20,239,"Wed, 22 Aug 2018 15:26:17 GMT",True,"Wed, 22 Aug 2018 19:24:06 GMT",162
199,340,27.2,80,446,"Wed, 22 Aug 2018 20:57:00 GMT",True,"Wed, 22 Aug 2018 22:51:06 GMT",162
200,340,27.2,80,517,"Wed, 22 Aug 2018 21:00:37 GMT",True,"Thu, 23 Aug 2018 00:02:06 GMT",162
201,267,64.08,240,418,"Wed, 22 Aug 2018 15:50:51 GMT",True,"Wed, 22 Aug 2018 22:44:15 GMT",273
202,325,74.75,230,335,"Thu, 23 Aug 2018 03:27:20 GMT",True,"Thu, 23 Aug 2018 08:57:24 GMT",259
203,325,74.75,230,339,"Thu, 23 Aug 2018 03:27:40 GMT",True,"Thu, 23 Aug 2018 09:01:24 GMT",259
204,286,17.16,60,646,"Fri, 24 Aug 2018 01:03:23 GMT",True,"Fri, 24 Aug 2018 11:48:42 GMT",242
205,286,17.16,60,647,"Fri, 24 Aug 2018 01:04:25 GMT",True,"Fri, 24 Aug 2018 11:49:42 GMT",242
206,250,60.0,240,583,"Fri, 24 Aug 2018 16:34:45 GMT",True,"Sat, 25 Aug 2018 02:16:41 GMT",216
207,200,32.0,160,247,"Fri, 24 Aug 2018 16:40:36 GMT",True,"Fri, 24 Aug 2018 20:46:46 GMT",258
208,259,75.11,290,179,"Fri, 24 Aug 2018 22:15:52 GMT",True,"Sat, 25 Aug 2018 01:14:29 GMT",222
209,259,69.93,270,132,"Fri, 24 Aug 2018 23:12:01 GMT",True,"Sat, 25 Aug 2018 00:27:29 GMT",222
210,259,51.8,200,282,"Fri, 24 Aug 2018 23:58:28 GMT",True,"Sat, 25 Aug 2018 02:57:29 GMT",222
